epoch,accuracy,loss,val_accuracy,val_loss
0,0.4727373421192169,1.2061767578125,0.48991355299949646,1.155380129814148
1,0.6410185694694519,0.8885973691940308,0.5446686148643494,1.1058629751205444
2,0.720730721950531,0.7084931135177612,0.5446686148643494,1.2413711547851562
3,0.7774702310562134,0.579316258430481,0.5677233338356018,1.2179538011550903
4,0.8217547535896301,0.4769359529018402,0.5561959743499756,1.3901234865188599
5,0.8510932922363281,0.399285227060318,0.5619596838951111,1.401945948600769
6,0.8903958201408386,0.2975938320159912,0.6282420754432678,1.3837144374847412
7,0.9011901617050171,0.2740887403488159,0.579250693321228,1.5735152959823608
8,0.9252698421478271,0.21951235830783844,0.5878962278366089,1.6216952800750732
9,0.9288679957389832,0.20200461149215698,0.5706051588058472,1.7038702964782715
10,0.9429836869239807,0.17303641140460968,0.579250693321228,1.6875742673873901
11,0.9576529264450073,0.13510319590568542,0.5677233338356018,2.02701735496521
12,0.9543315768241882,0.1399735063314438,0.5619596838951111,2.0394177436828613
13,0.9651259183883667,0.1134314313530922,0.579250693321228,2.190340042114258
14,0.9615278244018555,0.11750756949186325,0.5533141493797302,2.2121403217315674
15,0.9676169157028198,0.10870278626680374,0.5878962278366089,2.037423610687256
16,0.9670633673667908,0.10125625133514404,0.5706051588058472,2.181088924407959
17,0.9604207277297974,0.1196475625038147,0.5533141493797302,2.3535802364349365
18,0.9681705236434937,0.0878567025065422,0.5417867302894592,2.690882444381714
19,0.9548851251602173,0.12708236277103424,0.5734870433807373,2.2442586421966553
20,0.9631884694099426,0.10800948739051819,0.5734870433807373,2.347618341445923
21,0.9651259183883667,0.10323463380336761,0.5706051588058472,2.5167152881622314
22,0.9687240719795227,0.09884516149759293,0.5706051588058472,2.5019941329956055
23,0.9778577089309692,0.06365274637937546,0.5648415088653564,2.349670171737671
24,0.9806255102157593,0.06207231804728508,0.5850144028663635,2.4300291538238525
