epoch,accuracy,loss,val_accuracy,val_loss
0,0.34846389293670654,1.3393069505691528,0.44092220067977905,1.2959933280944824
1,0.6526432037353516,1.0083165168762207,0.6714697480201721,0.9034732580184937
2,0.79490727186203,0.5855080485343933,0.7118155360221863,0.7759242057800293
3,0.8494325876235962,0.41909512877464294,0.7002881765365601,0.7918719053268433
4,0.8848602175712585,0.32938244938850403,0.6945244669914246,0.7969532608985901
5,0.9122613072395325,0.2625148296356201,0.6743515729904175,0.8579795360565186
6,0.9261001944541931,0.22119149565696716,0.6772334575653076,0.9139498472213745
7,0.9418765306472778,0.1800282597541809,0.6685879230499268,1.034982681274414
8,0.950733482837677,0.1587606966495514,0.6714697480201721,1.0511020421981812
9,0.9570993781089783,0.1383645385503769,0.6829971075057983,1.1240415573120117
10,0.9662330746650696,0.12334545701742172,0.680115282535553,1.1834721565246582
11,0.9695543646812439,0.1096024438738823,0.6743515729904175,1.1911109685897827
12,0.9670633673667908,0.10404407232999802,0.6714697480201721,1.260074496269226
13,0.972045361995697,0.09828702360391617,0.6772334575653076,1.2916631698608398
14,0.972875714302063,0.09361940622329712,0.6772334575653076,1.3276935815811157
15,0.9717686176300049,0.08471957594156265,0.6772334575653076,1.360811471939087
16,0.976473867893219,0.08172807842493057,0.6570605039596558,1.3936913013458252
17,0.9745364189147949,0.07881280034780502,0.6772334575653076,1.388727068901062
18,0.9778577089309692,0.07315708696842194,0.6657060384750366,1.4569079875946045
19,0.9767506122589111,0.07710972428321838,0.6743515729904175,1.449666142463684
20,0.9775809645652771,0.07218748331069946,0.6599423885345459,1.4904595613479614
21,0.976473867893219,0.07062177360057831,0.6570605039596558,1.5300482511520386
22,0.9773041605949402,0.06563510000705719,0.6685879230499268,1.5508893728256226
23,0.9773041605949402,0.06999611109495163,0.6541786789894104,1.5931602716445923
24,0.9784113168716431,0.06435264647006989,0.6599423885345459,1.5388373136520386
